Date,download
2012-11-27,2.912
2012-11-28,2.928
2012-11-29,1.611
2012-11-30,3.6910000000000003
2012-12-01,5.364
2012-12-02,4.727
2012-12-03,5.832999999999999
2012-12-04,4.887
2012-12-05,4.447
2012-12-06,1.4580000000000002
2012-12-07,2.895
2012-12-08,0.758
2012-12-09,5.356
2012-12-10,4.691
2012-12-11,2.4930000000000003
2012-12-12,3.673
2012-12-13,4.644
2012-12-14,5.118
2012-12-15,2.289
2012-12-16,5.074
2012-12-17,2.472
2012-12-18,3.497
2012-12-19,2.805
2012-12-20,6.652
2012-12-21,2.528
2012-12-22,5.351
2012-12-23,3.728
2012-12-24,2.904
2012-12-25,3.946
2012-12-26,4.027
2012-12-27,11.790999999999999
2012-12-28,4.763
2012-12-29,2.369
